"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"80",1,"ALPHABET CITY            ","13  CONDOS - ELEVATOR APARTMENTS            ","2",373,1002,NA,"R4","324 EAST 4TH   STREET                    ","2A          ",10009,1,0,1," -   "," -   ",1920,2,"R4"," 1,395,796 ","7/28/2016",1395796,NA,NA,0
"81",1,"ALPHABET CITY            ","13  CONDOS - ELEVATOR APARTMENTS            ","2",373,1010,NA,"R4","324 EAST 4TH   STREET                    ","6B          ",10009,1,0,1," -   "," -   ",1920,2,"R4"," 792,812 ","7/28/2016",792812,NA,NA,0
"83",1,"ALPHABET CITY            ","13  CONDOS - ELEVATOR APARTMENTS            ","2",384,1224,NA,"R4","310 EAST HOUSTON STREET                  ","PHF         ",10002,1,0,1," -   "," -   ",2005,2,"R4"," 925,000 ","8/9/2016",925000,NA,NA,0
"85",1,"ALPHABET CITY            ","13  CONDOS - ELEVATOR APARTMENTS            ","2",392,1019,NA,"R4","143 AVENUE B                             ","5B          ",10009,1,0,1," -   "," -   ",1928,2,"R4"," 1,750,000 ","3/14/2016",1750000,NA,NA,0
"87",1,"ALPHABET CITY            ","13  CONDOS - ELEVATOR APARTMENTS            ","2",392,1075,NA,"R4","143 AVENUE B                             ","14E         ",10009,1,0,1," -   "," -   ",1928,2,"R4"," 931,000 ","12/23/2015",931000,NA,NA,0
"89",1,"ALPHABET CITY            ","13  CONDOS - ELEVATOR APARTMENTS            ","2",392,1085,NA,"R4","143 AVENUE B                             ","PHB         ",10009,1,0,1," -   "," -   ",1928,2,"R4"," 2,180,000 ","9/15/2015",2180000,NA,NA,0
"92",1,"ALPHABET CITY            ","13  CONDOS - ELEVATOR APARTMENTS            ","2",392,1122,NA,"R4","631 EAST 9TH   STREET                    ","5B          ",10009,1,0,1," -   "," -   ",2005,2,"R4"," 1,450,000 ","3/15/2016",1450000,NA,NA,0
"93",1,"ALPHABET CITY            ","13  CONDOS - ELEVATOR APARTMENTS            ","2",394,1503,NA,"R4","189 AVENUE C                             ","2A          ",10009,1,0,1," -   "," -   ",1910,2,"R4"," 549,855 ","4/27/2016",549855,NA,NA,0
"94",1,"ALPHABET CITY            ","13  CONDOS - ELEVATOR APARTMENTS            ","2",394,1504,NA,"R4","189 AVENUE C                             ","2B          ",10009,1,0,1," -   "," -   ",1910,2,"R4"," 830,000 ","4/22/2016",830000,NA,NA,0
"95",1,"ALPHABET CITY            ","13  CONDOS - ELEVATOR APARTMENTS            ","2",394,1505,NA,"R4","189 AVENUE C                             ","2C          ",10009,1,0,1," -   "," -   ",1910,2,"R4"," 681,159 ","5/13/2016",681159,NA,NA,0
"96",1,"ALPHABET CITY            ","13  CONDOS - ELEVATOR APARTMENTS            ","2",394,1506,NA,"R4","189 AVENUE C                             ","3A          ",10009,1,0,1," -   "," -   ",1910,2,"R4"," 549,855 ","7/21/2016",549855,NA,NA,0
"97",1,"ALPHABET CITY            ","13  CONDOS - ELEVATOR APARTMENTS            ","2",394,1514,NA,"R4","189 AVENUE C                             ","4D          ",10009,1,0,1," -   "," -   ",1910,2,"R4"," 750,959 ","7/14/2016",750959,NA,NA,0
"98",1,"ALPHABET CITY            ","13  CONDOS - ELEVATOR APARTMENTS            ","2",394,1519,NA,"R4","189 AVENUE C                             ","5D          ",10009,1,0,1," -   "," -   ",1910,2,"R4"," 809,508 ","7/26/2016",809508,NA,NA,0
"99",1,"ALPHABET CITY            ","13  CONDOS - ELEVATOR APARTMENTS            ","2",394,1520,NA,"R4","189 AVENUE C                             ","5E          ",10009,1,0,1," -   "," -   ",1910,2,"R4"," 865,512 ","5/27/2016",865512,NA,NA,0
"100",1,"ALPHABET CITY            ","13  CONDOS - ELEVATOR APARTMENTS            ","2",394,1522,NA,"R4","189 AVENUE C                             ","6B          ",10009,1,0,1," -   "," -   ",1910,2,"R4"," 880,000 ","5/13/2016",880000,NA,NA,0
"101",1,"ALPHABET CITY            ","13  CONDOS - ELEVATOR APARTMENTS            ","2",394,1523,NA,"R4","189 AVENUE C                             ","6C          ",10009,1,0,1," -   "," -   ",1910,2,"R4"," 789,143 ","5/11/2016",789143,NA,NA,0
