"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","Price.per.gross.sqft","Price.per.land.sqft","outliers"
"2",1,"ALPHABET CITY            ","03  THREE FAMILY DWELLINGS                  ","1",376,24,NA,"C0","264 EAST 7TH STREET                      ","            ",10009,3,0,3," 2,059 "," 3,696 ",1900,1,"C0"," 3,775,000 ","10/22/2015",3775000,3696,2059,1021.37445887446,1833.4142787761,0
"169",1,"CHELSEA                  ","01  ONE FAMILY DWELLINGS                    ","1",722,10,NA,"A4","451 WEST 24                              ","            ",10011,1,0,1," 2,057 "," 3,360 ",1910,1,"A4"," 13,000,000 ","8/16/2016",1.3e+07,3360,2057,3869.04761904762,6319.88332523092,0
"170",1,"CHELSEA                  ","01  ONE FAMILY DWELLINGS                    ","1",771,52,NA,"A9","224 WEST 22ND   STREET                   ","            ",10011,1,0,1," 1,975 "," 3,855 ",1901,1,"A9"," 8,800,000 ","12/11/2015",8800000,3855,1975,2282.74967574578,4455.69620253165,0
"172",1,"CHELSEA                  ","02  TWO FAMILY DWELLINGS                    ","1",742,19,NA,"B9","331 WEST 18TH   STREET                   ","            ",10011,2,0,2," 2,147 "," 4,554 ",1910,1,"B9"," 6,109,000 ","2/3/2016",6109000,4554,2147,1341.45805884936,2845.36562645552,0
"173",1,"CHELSEA                  ","02  TWO FAMILY DWELLINGS                    ","1",745,11,NA,"A4","347 WEST 21ST STREET                     ","            ",10011,1,0,1," 2,074 "," 5,808 ",1910,1,"B1"," 11,095,675 ","9/9/2015",11095675,5808,2074,1910.41236225895,5349.89151398264,0
"174",1,"CHELSEA                  ","03  THREE FAMILY DWELLINGS                  ","1",719,58,NA,"C0","426 WEST 22ND   STREET                   ","            ",10011,3,0,3," 1,813 "," 3,440 ",1900,1,"C0"," 7,350,000 ","8/8/2016",7350000,3440,1813,2136.62790697674,4054.05405405405,0
"1458",1,"CLINTON                  ","02  TWO FAMILY DWELLINGS                    ","1",1053,55,NA,"S2","448 WEST 44TH STREET                     ","            ",10036,2,1,3," 1,883 "," 3,600 ",1899,1,"S2"," 4,640,000 ","12/22/2015",4640000,3600,1883,1288.88888888889,2464.15294742432,0
"1781",1,"EAST VILLAGE             ","02  TWO FAMILY DWELLINGS                    ","1",445,1,NA,"S2","54 2 AVENUE                              ","            ",10003,2,1,3," 1,440 "," 5,772 ",1901,1,"S2"," 6,900,000 ","2/24/2016",6900000,5772,1440,1195.4261954262,4791.66666666667,0
"1782",1,"EAST VILLAGE             ","02  TWO FAMILY DWELLINGS                    ","1",449,10,NA,"S2","421/2 ST MARKS PLACE                     ","            ",10003,2,1,3," 665 "," 3,325 ",1800,1,"S2"," 3,375,000 ","10/27/2015",3375000,3325,665,1015.03759398496,5075.18796992481,0
"1783",1,"EAST VILLAGE             ","03  THREE FAMILY DWELLINGS                  ","1",448,46,NA,"C0","319 EAST 6TH   STREET                    ","            ",10003,3,0,3," 1,635 "," 4,748 ",1900,1,"C0"," 7,920,400 ","5/31/2016",7920400,4748,1635,1668.1550126369,4844.28134556575,0
